Entrada 0: Pulp Fiction ---> CINE ELORRIETA // Sala: 002// Fecha: 2024-01-01 // 13:30:00
**************************************************
Entrada 1: Pulp Fiction ---> CINE ELORRIETA // Sala: 002// Fecha: 2024-01-01 // 13:30:00
**************************************************
Entrada 2: Pulp Fiction ---> CINE ELORRIETA // Sala: 002// Fecha: 2024-01-01 // 13:30:00
**************************************************
Entrada 3: Pulp Fiction ---> CINE ELORRIETA // Sala: 002// Fecha: 2024-01-01 // 13:30:00
**************************************************
Entrada 4: Pulp Fiction ---> Metro Cinemas // Sala: 008// Fecha: 2024-01-01 // 13:30:00
**************************************************
Entrada 5: Pulp Fiction ---> Metro Cinemas // Sala: 008// Fecha: 2024-01-01 // 13:30:00
**************************************************
Entrada 6: Pulp Fiction ---> Metro Cinemas // Sala: 008// Fecha: 2024-01-01 // 13:30:00
**************************************************
Entrada 7: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 8: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 9: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 10: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 11: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 12: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 13: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 14: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 15: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 16: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 17: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 18: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 19: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
Entrada 20: Inception ---> SILVER SCREENS // Sala: 005// Fecha: 2024-01-03 // 17:30:00
**************************************************
